State,Year,Quater,Entity_Name,Entity_Type,Insurance_count,Insurance_amount
andaman-&-nicobar-islands,2020,2,nicobars,District,3,565.0
andaman-&-nicobar-islands,2020,2,south andaman,District,3,795.0
andaman-&-nicobar-islands,2020,2,744301,Pincode,3,565.0
andaman-&-nicobar-islands,2020,2,744104,Pincode,2,513.0
andaman-&-nicobar-islands,2020,2,744101,Pincode,1,282.0
andaman-&-nicobar-islands,2020,3,south andaman,District,35,13651.0
andaman-&-nicobar-islands,2020,3,nicobars,District,5,1448.0
andaman-&-nicobar-islands,2020,3,north and middle andaman,District,1,281.0
andaman-&-nicobar-islands,2020,3,744112,Pincode,9,3432.0
andaman-&-nicobar-islands,2020,3,744105,Pincode,7,3948.0
andaman-&-nicobar-islands,2020,3,744101,Pincode,5,2194.0
andaman-&-nicobar-islands,2020,3,744206,Pincode,4,1620.0
andaman-&-nicobar-islands,2020,3,744107,Pincode,3,1095.0
andaman-&-nicobar-islands,2020,3,744103,Pincode,3,947.0
andaman-&-nicobar-islands,2020,3,744302,Pincode,3,562.0
andaman-&-nicobar-islands,2020,3,744211,Pincode,2,101.0
andaman-&-nicobar-islands,2020,3,744301,Pincode,2,886.0
andaman-&-nicobar-islands,2020,3,744102,Pincode,2,314.0
andaman-&-nicobar-islands,2020,4,south andaman,District,109,137494.0
andaman-&-nicobar-islands,2020,4,north and middle andaman,District,13,17734.0
andaman-&-nicobar-islands,2020,4,nicobars,District,2,2747.0
andaman-&-nicobar-islands,2020,4,744105,Pincode,25,25659.0
andaman-&-nicobar-islands,2020,4,744101,Pincode,23,29686.0
andaman-&-nicobar-islands,2020,4,744103,Pincode,18,24904.0
andaman-&-nicobar-islands,2020,4,744102,Pincode,17,25073.0
andaman-&-nicobar-islands,2020,4,744112,Pincode,8,10459.0
andaman-&-nicobar-islands,2020,4,744106,Pincode,6,4840.0
andaman-&-nicobar-islands,2020,4,744204,Pincode,6,11659.0
andaman-&-nicobar-islands,2020,4,744104,Pincode,4,10271.0
andaman-&-nicobar-islands,2020,4,744206,Pincode,3,100.0
andaman-&-nicobar-islands,2020,4,744205,Pincode,3,5235.0
andaman-&-nicobar-islands,2021,1,south andaman,District,164,167044.0
andaman-&-nicobar-islands,2021,1,north and middle andaman,District,48,63978.0
andaman-&-nicobar-islands,2021,1,nicobars,District,13,13244.0
andaman-&-nicobar-islands,2021,1,744105,Pincode,47,53060.0
andaman-&-nicobar-islands,2021,1,744103,Pincode,35,39985.0
andaman-&-nicobar-islands,2021,1,744101,Pincode,33,24571.0
andaman-&-nicobar-islands,2021,1,744204,Pincode,25,29635.0
andaman-&-nicobar-islands,2021,1,744202,Pincode,12,17588.0
andaman-&-nicobar-islands,2021,1,744102,Pincode,12,14085.0
andaman-&-nicobar-islands,2021,1,744104,Pincode,9,7310.0
andaman-&-nicobar-islands,2021,1,744107,Pincode,8,9253.0
andaman-&-nicobar-islands,2021,1,744205,Pincode,7,11223.0
andaman-&-nicobar-islands,2021,1,744301,Pincode,7,6612.0
andaman-&-nicobar-islands,2021,2,south andaman,District,105,121104.0
andaman-&-nicobar-islands,2021,2,north and middle andaman,District,28,45311.0
andaman-&-nicobar-islands,2021,2,nicobars,District,4,15089.0
andaman-&-nicobar-islands,2021,2,744103,Pincode,36,33716.0
andaman-&-nicobar-islands,2021,2,744101,Pincode,17,19787.0
andaman-&-nicobar-islands,2021,2,744105,Pincode,15,17163.0
andaman-&-nicobar-islands,2021,2,744102,Pincode,13,10326.0
andaman-&-nicobar-islands,2021,2,744204,Pincode,10,10557.0
andaman-&-nicobar-islands,2021,2,744107,Pincode,8,11459.0
andaman-&-nicobar-islands,2021,2,744202,Pincode,6,9766.0
andaman-&-nicobar-islands,2021,2,744104,Pincode,6,8889.0
andaman-&-nicobar-islands,2021,2,744205,Pincode,6,12669.0
andaman-&-nicobar-islands,2021,2,744210,Pincode,4,9430.0
andaman-&-nicobar-islands,2021,3,south andaman,District,182,223699.0
andaman-&-nicobar-islands,2021,3,north and middle andaman,District,33,50997.0
andaman-&-nicobar-islands,2021,3,nicobars,District,15,30539.0
andaman-&-nicobar-islands,2021,3,744105,Pincode,70,82425.0
andaman-&-nicobar-islands,2021,3,744103,Pincode,44,53909.0
andaman-&-nicobar-islands,2021,3,744101,Pincode,26,29601.0
andaman-&-nicobar-islands,2021,3,744102,Pincode,14,20616.0
andaman-&-nicobar-islands,2021,3,744204,Pincode,13,20075.0
andaman-&-nicobar-islands,2021,3,744202,Pincode,11,18134.0
andaman-&-nicobar-islands,2021,3,744112,Pincode,11,14406.0
andaman-&-nicobar-islands,2021,3,744302,Pincode,8,7247.0
andaman-&-nicobar-islands,2021,3,744107,Pincode,6,6406.0
