State,Year,Quater,Entity_Name,Entity_Type,User_count
andaman-&-nicobar-islands,2018,1,south andaman,State,5846
andaman-&-nicobar-islands,2018,1,north and middle andaman,State,632
andaman-&-nicobar-islands,2018,1,nicobars,State,262
andaman-&-nicobar-islands,2018,2,south andaman,State,8143
andaman-&-nicobar-islands,2018,2,north and middle andaman,State,911
andaman-&-nicobar-islands,2018,2,nicobars,State,351
andaman-&-nicobar-islands,2018,3,south andaman,State,10474
andaman-&-nicobar-islands,2018,3,north and middle andaman,State,1208
andaman-&-nicobar-islands,2018,3,nicobars,State,467
andaman-&-nicobar-islands,2018,4,south andaman,State,13133
andaman-&-nicobar-islands,2018,4,north and middle andaman,State,1553
andaman-&-nicobar-islands,2018,4,nicobars,State,536
andaman-&-nicobar-islands,2019,1,south andaman,State,15961
andaman-&-nicobar-islands,2019,1,north and middle andaman,State,2013
andaman-&-nicobar-islands,2019,1,nicobars,State,622
andaman-&-nicobar-islands,2019,2,south andaman,State,18621
andaman-&-nicobar-islands,2019,2,north and middle andaman,State,2417
andaman-&-nicobar-islands,2019,2,nicobars,State,693
andaman-&-nicobar-islands,2019,3,south andaman,State,20518
andaman-&-nicobar-islands,2019,3,north and middle andaman,State,2662
andaman-&-nicobar-islands,2019,3,nicobars,State,751
andaman-&-nicobar-islands,2019,4,south andaman,State,22202
andaman-&-nicobar-islands,2019,4,north and middle andaman,State,2955
andaman-&-nicobar-islands,2019,4,nicobars,State,803
andaman-&-nicobar-islands,2020,1,south andaman,State,24174
andaman-&-nicobar-islands,2020,1,north and middle andaman,State,3315
andaman-&-nicobar-islands,2020,1,nicobars,State,879
andaman-&-nicobar-islands,2020,2,south andaman,State,27626
andaman-&-nicobar-islands,2020,2,north and middle andaman,State,4100
andaman-&-nicobar-islands,2020,2,nicobars,State,984
andaman-&-nicobar-islands,2020,3,south andaman,State,34833
andaman-&-nicobar-islands,2020,3,north and middle andaman,State,5355
andaman-&-nicobar-islands,2020,3,nicobars,State,1147
andaman-&-nicobar-islands,2020,4,south andaman,State,43908
andaman-&-nicobar-islands,2020,4,north and middle andaman,State,7076
andaman-&-nicobar-islands,2020,4,nicobars,State,1412
andaman-&-nicobar-islands,2021,1,south andaman,State,48352
andaman-&-nicobar-islands,2021,1,north and middle andaman,State,7833
andaman-&-nicobar-islands,2021,1,nicobars,State,1573
andaman-&-nicobar-islands,2021,2,south andaman,State,51903
andaman-&-nicobar-islands,2021,2,north and middle andaman,State,8493
andaman-&-nicobar-islands,2021,2,nicobars,State,1699
andaman-&-nicobar-islands,2021,3,south andaman,State,55873
andaman-&-nicobar-islands,2021,3,north and middle andaman,State,9263
andaman-&-nicobar-islands,2021,3,nicobars,State,1846
andaman-&-nicobar-islands,2021,4,south andaman,State,59807
andaman-&-nicobar-islands,2021,4,north and middle andaman,State,10002
andaman-&-nicobar-islands,2021,4,nicobars,State,1971
andaman-&-nicobar-islands,2022,1,south andaman,State,63487
andaman-&-nicobar-islands,2022,1,north and middle andaman,State,10720
andaman-&-nicobar-islands,2022,1,nicobars,State,2081
andaman-&-nicobar-islands,2022,2,south andaman,State,66959
andaman-&-nicobar-islands,2022,2,north and middle andaman,State,11379
andaman-&-nicobar-islands,2022,2,nicobars,State,2192
andaman-&-nicobar-islands,2022,3,south andaman,State,70445
andaman-&-nicobar-islands,2022,3,north and middle andaman,State,11897
andaman-&-nicobar-islands,2022,3,nicobars,State,2300
andaman-&-nicobar-islands,2022,4,south andaman,State,73692
andaman-&-nicobar-islands,2022,4,north and middle andaman,State,12361
andaman-&-nicobar-islands,2022,4,nicobars,State,2389
andaman-&-nicobar-islands,2023,1,south andaman,State,77052
andaman-&-nicobar-islands,2023,1,north and middle andaman,State,12941
andaman-&-nicobar-islands,2023,1,nicobars,State,2491
andaman-&-nicobar-islands,2023,2,south andaman,State,80112
andaman-&-nicobar-islands,2023,2,north and middle andaman,State,13600
andaman-&-nicobar-islands,2023,2,nicobars,State,2617
andaman-&-nicobar-islands,2023,3,south andaman,State,83305
andaman-&-nicobar-islands,2023,3,north and middle andaman,State,14216
andaman-&-nicobar-islands,2023,3,nicobars,State,2734
andaman-&-nicobar-islands,2023,4,south andaman,State,86348
andaman-&-nicobar-islands,2023,4,north and middle andaman,State,14813
andaman-&-nicobar-islands,2023,4,nicobars,State,2817
andaman-&-nicobar-islands,2024,1,south andaman,State,89907
andaman-&-nicobar-islands,2024,1,north and middle andaman,State,15539
andaman-&-nicobar-islands,2024,1,nicobars,State,2965
andaman-&-nicobar-islands,2024,2,south andaman,State,93421
andaman-&-nicobar-islands,2024,2,north and middle andaman,State,16183
andaman-&-nicobar-islands,2024,2,nicobars,State,3083
andaman-&-nicobar-islands,2024,3,south andaman,State,143250
andaman-&-nicobar-islands,2024,3,north and middle andaman,State,21728
andaman-&-nicobar-islands,2024,3,nicobar,State,7495
andaman-&-nicobar-islands,2024,4,south andaman,State,148543
andaman-&-nicobar-islands,2024,4,north and middle andaman,State,22547
andaman-&-nicobar-islands,2024,4,nicobar,State,7698
andhra-pradesh,2018,1,visakhapatnam,State,497187
andhra-pradesh,2018,1,east godavari,State,350356
andhra-pradesh,2018,1,krishna,State,323673
andhra-pradesh,2018,1,guntur,State,317065
andhra-pradesh,2018,1,chittoor,State,309541
andhra-pradesh,2018,1,anantapur,State,241192
andhra-pradesh,2018,1,kurnool,State,240133
andhra-pradesh,2018,1,west godavari,State,213335
andhra-pradesh,2018,1,spsr nellore,State,194475
andhra-pradesh,2018,1,prakasam,State,189949
andhra-pradesh,2018,2,visakhapatnam,State,636052
andhra-pradesh,2018,2,east godavari,State,454398
andhra-pradesh,2018,2,krishna,State,431965
andhra-pradesh,2018,2,guntur,State,420326
andhra-pradesh,2018,2,chittoor,State,414306
andhra-pradesh,2018,2,anantapur,State,326383
andhra-pradesh,2018,2,kurnool,State,319313
andhra-pradesh,2018,2,west godavari,State,282393
andhra-pradesh,2018,2,spsr nellore,State,261049
andhra-pradesh,2018,2,prakasam,State,253458
andhra-pradesh,2018,3,visakhapatnam,State,769096
andhra-pradesh,2018,3,east godavari,State,558982
andhra-pradesh,2018,3,krishna,State,537086
andhra-pradesh,2018,3,guntur,State,518931
andhra-pradesh,2018,3,chittoor,State,515727
andhra-pradesh,2018,3,anantapur,State,405855
andhra-pradesh,2018,3,kurnool,State,394311
andhra-pradesh,2018,3,west godavari,State,349782
andhra-pradesh,2018,3,spsr nellore,State,322446
andhra-pradesh,2018,3,prakasam,State,314899
andhra-pradesh,2018,4,visakhapatnam,State,978288
andhra-pradesh,2018,4,east godavari,State,694455
andhra-pradesh,2018,4,krishna,State,682479
andhra-pradesh,2018,4,chittoor,State,665280
andhra-pradesh,2018,4,guntur,State,659552
andhra-pradesh,2018,4,anantapur,State,510892
andhra-pradesh,2018,4,kurnool,State,498582
andhra-pradesh,2018,4,west godavari,State,435668
andhra-pradesh,2018,4,spsr nellore,State,407495
andhra-pradesh,2018,4,prakasam,State,394962
andhra-pradesh,2019,1,visakhapatnam,State,1174517
andhra-pradesh,2019,1,east godavari,State,839277
andhra-pradesh,2019,1,krishna,State,833694
andhra-pradesh,2019,1,chittoor,State,812314
andhra-pradesh,2019,1,guntur,State,802394
andhra-pradesh,2019,1,anantapur,State,612162
andhra-pradesh,2019,1,kurnool,State,599422
andhra-pradesh,2019,1,west godavari,State,523372
andhra-pradesh,2019,1,spsr nellore,State,491908
andhra-pradesh,2019,1,prakasam,State,474260
andhra-pradesh,2019,2,visakhapatnam,State,1318740
andhra-pradesh,2019,2,krishna,State,952300
andhra-pradesh,2019,2,east godavari,State,945181
andhra-pradesh,2019,2,chittoor,State,925491
andhra-pradesh,2019,2,guntur,State,915256
andhra-pradesh,2019,2,anantapur,State,695114
andhra-pradesh,2019,2,kurnool,State,680118
andhra-pradesh,2019,2,west godavari,State,592185
andhra-pradesh,2019,2,spsr nellore,State,558303
andhra-pradesh,2019,2,prakasam,State,539462
andhra-pradesh,2019,3,visakhapatnam,State,1460464
andhra-pradesh,2019,3,krishna,State,1066546
andhra-pradesh,2019,3,east godavari,State,1057167
andhra-pradesh,2019,3,chittoor,State,1032733
andhra-pradesh,2019,3,guntur,State,1026418
andhra-pradesh,2019,3,anantapur,State,773656
andhra-pradesh,2019,3,kurnool,State,755024
andhra-pradesh,2019,3,west godavari,State,662102
andhra-pradesh,2019,3,spsr nellore,State,619592
andhra-pradesh,2019,3,prakasam,State,598568
andhra-pradesh,2019,4,visakhapatnam,State,1620235
andhra-pradesh,2019,4,krishna,State,1199971
andhra-pradesh,2019,4,east godavari,State,1195228
andhra-pradesh,2019,4,guntur,State,1158708
andhra-pradesh,2019,4,chittoor,State,1156351
andhra-pradesh,2019,4,anantapur,State,873033
andhra-pradesh,2019,4,kurnool,State,846885
andhra-pradesh,2019,4,west godavari,State,750078
andhra-pradesh,2019,4,spsr nellore,State,697154
andhra-pradesh,2019,4,prakasam,State,673522
andhra-pradesh,2020,1,visakhapatnam,State,1763581
andhra-pradesh,2020,1,krishna,State,1331602
andhra-pradesh,2020,1,east godavari,State,1329664
andhra-pradesh,2020,1,guntur,State,1289678
andhra-pradesh,2020,1,chittoor,State,1270907
andhra-pradesh,2020,1,anantapur,State,971850
andhra-pradesh,2020,1,kurnool,State,936293
andhra-pradesh,2020,1,west godavari,State,843835
andhra-pradesh,2020,1,spsr nellore,State,775440
andhra-pradesh,2020,1,prakasam,State,748655
andhra-pradesh,2020,2,visakhapatnam,State,1904719
andhra-pradesh,2020,2,east godavari,State,1459116
andhra-pradesh,2020,2,krishna,State,1459041
andhra-pradesh,2020,2,guntur,State,1426271
andhra-pradesh,2020,2,chittoor,State,1385916
andhra-pradesh,2020,2,anantapur,State,1076953
andhra-pradesh,2020,2,kurnool,State,1035093
andhra-pradesh,2020,2,west godavari,State,944829
andhra-pradesh,2020,2,spsr nellore,State,854459
andhra-pradesh,2020,2,prakasam,State,830709
andhra-pradesh,2020,3,visakhapatnam,State,2058346
andhra-pradesh,2020,3,east godavari,State,1601940
andhra-pradesh,2020,3,krishna,State,1599289
andhra-pradesh,2020,3,guntur,State,1567595
andhra-pradesh,2020,3,chittoor,State,1506503
andhra-pradesh,2020,3,anantapur,State,1186851
andhra-pradesh,2020,3,kurnool,State,1132240
andhra-pradesh,2020,3,west godavari,State,1053674
andhra-pradesh,2020,3,spsr nellore,State,937176
andhra-pradesh,2020,3,prakasam,State,915240
andhra-pradesh,2020,4,visakhapatnam,State,2209658
andhra-pradesh,2020,4,east godavari,State,1746280
andhra-pradesh,2020,4,krishna,State,1744028
andhra-pradesh,2020,4,guntur,State,1712940
andhra-pradesh,2020,4,chittoor,State,1631331
andhra-pradesh,2020,4,anantapur,State,1295872
andhra-pradesh,2020,4,kurnool,State,1230466
andhra-pradesh,2020,4,west godavari,State,1163179
andhra-pradesh,2020,4,spsr nellore,State,1022944
andhra-pradesh,2020,4,prakasam,State,999462
andhra-pradesh,2021,1,visakhapatnam,State,2368081
andhra-pradesh,2021,1,east godavari,State,1878769
andhra-pradesh,2021,1,krishna,State,1876458
andhra-pradesh,2021,1,guntur,State,1843237
andhra-pradesh,2021,1,chittoor,State,1751420
andhra-pradesh,2021,1,anantapur,State,1394849
andhra-pradesh,2021,1,kurnool,State,1323411
andhra-pradesh,2021,1,west godavari,State,1254117
andhra-pradesh,2021,1,spsr nellore,State,1100541
andhra-pradesh,2021,1,prakasam,State,1075936
andhra-pradesh,2021,2,visakhapatnam,State,2526830
andhra-pradesh,2021,2,east godavari,State,2006272
andhra-pradesh,2021,2,krishna,State,2002662
andhra-pradesh,2021,2,guntur,State,1968681
andhra-pradesh,2021,2,chittoor,State,1870723
andhra-pradesh,2021,2,anantapur,State,1492738
andhra-pradesh,2021,2,kurnool,State,1415585
